MATERIAL_CODE,MATERIAL_CODE_DESC,MAT_GRP,MAT_GRP_DESC,UOM,ds,y,receipt_qty,inv_qty,unit_cost,n_locations,is_synthetic
15111401001705,"HAMMER FOR HAMMER CRUSHER ,  RMP3-21-030",151,KILNS,EA,2023-11-30,32.0,42.0,10.0,6822.9531,2,1
15111401001705,"HAMMER FOR HAMMER CRUSHER ,  RMP3-21-030",151,KILNS,EA,2023-12-31,42.0,27.0,0.0,6822.9531,2,1
15111401001705,"HAMMER FOR HAMMER CRUSHER ,  RMP3-21-030",151,KILNS,EA,2024-01-31,37.0,33.0,0.0,6822.9531,2,1
15111401001705,"HAMMER FOR HAMMER CRUSHER ,  RMP3-21-030",151,KILNS,EA,2024-02-29,40.0,45.0,5.0,6822.9531,2,1
15111401001705,"HAMMER FOR HAMMER CRUSHER ,  RMP3-21-030",151,KILNS,EA,2024-03-31,43.0,38.0,0.0,6822.9531,2,1
15111401001705,"HAMMER FOR HAMMER CRUSHER ,  RMP3-21-030",151,KILNS,EA,2024-04-30,42.0,38.0,0.0,6822.9531,2,1
15111401001705,"HAMMER FOR HAMMER CRUSHER ,  RMP3-21-030",151,KILNS,EA,2024-05-31,44.0,35.0,0.0,6822.9531,2,1
15111401001705,"HAMMER FOR HAMMER CRUSHER ,  RMP3-21-030",151,KILNS,EA,2024-06-30,50.0,36.0,0.0,6822.9531,2,1
15111401001705,"HAMMER FOR HAMMER CRUSHER ,  RMP3-21-030",151,KILNS,EA,2024-07-31,31.0,41.0,10.0,6822.9531,2,1
15111401001705,"HAMMER FOR HAMMER CRUSHER ,  RMP3-21-030",151,KILNS,EA,2024-08-31,36.0,60.0,34.0,6822.9531,2,1
15111401001705,"HAMMER FOR HAMMER CRUSHER ,  RMP3-21-030",151,KILNS,EA,2024-09-30,31.0,25.0,28.0,6822.9531,2,1
15111401001705,"HAMMER FOR HAMMER CRUSHER ,  RMP3-21-030",151,KILNS,EA,2024-10-31,32.0,44.0,40.0,6822.9531,2,1
15111401001705,"HAMMER FOR HAMMER CRUSHER ,  RMP3-21-030",151,KILNS,EA,2024-11-30,33.0,25.0,32.0,6822.9531,2,1
15111401001705,"HAMMER FOR HAMMER CRUSHER ,  RMP3-21-030",151,KILNS,EA,2024-12-31,34.0,29.0,27.0,6822.9531,2,1
15111401001705,"HAMMER FOR HAMMER CRUSHER ,  RMP3-21-030",151,KILNS,EA,2025-01-31,44.0,44.0,27.0,6822.9531,2,1
15111401001705,"HAMMER FOR HAMMER CRUSHER ,  RMP3-21-030",151,KILNS,EA,2025-02-28,35.0,43.0,35.0,6822.9531,2,1
15111401001705,"HAMMER FOR HAMMER CRUSHER ,  RMP3-21-030",151,KILNS,EA,2025-03-31,47.0,58.0,46.0,6822.9531,2,1
15111401001705,"HAMMER FOR HAMMER CRUSHER ,  RMP3-21-030",151,KILNS,EA,2025-04-30,44.0,34.0,36.0,6822.9531,2,1
15111401001705,"HAMMER FOR HAMMER CRUSHER ,  RMP3-21-030",151,KILNS,EA,2025-05-31,43.0,62.0,55.0,6822.9531,2,1
15111401001705,"HAMMER FOR HAMMER CRUSHER ,  RMP3-21-030",151,KILNS,EA,2025-06-30,33.0,50.0,72.0,6822.9531,2,1
15111401001705,"HAMMER FOR HAMMER CRUSHER ,  RMP3-21-030",151,KILNS,EA,2025-07-31,33.0,51.0,90.0,6822.9531,2,1
15111401001705,"HAMMER FOR HAMMER CRUSHER ,  RMP3-21-030",151,KILNS,EA,2025-08-31,29.0,35.0,96.0,6822.9531,2,1
15111401001705,"HAMMER FOR HAMMER CRUSHER ,  RMP3-21-030",151,KILNS,EA,2025-09-30,38.0,16.0,54.0,6822.9531,2,0
15111401001705,"HAMMER FOR HAMMER CRUSHER ,  RMP3-21-030",151,KILNS,EA,2025-10-31,38.0,16.0,16.0,6822.9531,2,0
20110501000038,"WHEEL ASSY,IDLE,DWN:COB-25-77 R1",201,COBPP EQPT & SPRS,EA,2023-11-30,3.0,3.0,0.0,180778.6,2,1
20110501000038,"WHEEL ASSY,IDLE,DWN:COB-25-77 R1",201,COBPP EQPT & SPRS,EA,2023-12-31,2.0,2.0,0.0,180778.6,2,1
20110501000038,"WHEEL ASSY,IDLE,DWN:COB-25-77 R1",201,COBPP EQPT & SPRS,EA,2024-01-31,2.0,4.0,2.0,180778.6,2,1
20110501000038,"WHEEL ASSY,IDLE,DWN:COB-25-77 R1",201,COBPP EQPT & SPRS,EA,2024-02-29,2.0,2.0,2.0,180778.6,2,1
20110501000038,"WHEEL ASSY,IDLE,DWN:COB-25-77 R1",201,COBPP EQPT & SPRS,EA,2024-03-31,1.0,3.0,4.0,180778.6,2,1
20110501000038,"WHEEL ASSY,IDLE,DWN:COB-25-77 R1",201,COBPP EQPT & SPRS,EA,2024-04-30,2.0,2.0,4.0,180778.6,2,1
20110501000038,"WHEEL ASSY,IDLE,DWN:COB-25-77 R1",201,COBPP EQPT & SPRS,EA,2024-05-31,2.0,1.0,3.0,180778.6,2,1
20110501000038,"WHEEL ASSY,IDLE,DWN:COB-25-77 R1",201,COBPP EQPT & SPRS,EA,2024-06-30,2.0,2.0,3.0,180778.6,2,1
20110501000038,"WHEEL ASSY,IDLE,DWN:COB-25-77 R1",201,COBPP EQPT & SPRS,EA,2024-07-31,2.0,2.0,3.0,180778.6,2,1
20110501000038,"WHEEL ASSY,IDLE,DWN:COB-25-77 R1",201,COBPP EQPT & SPRS,EA,2024-08-31,2.0,2.0,3.0,180778.6,2,1
20110501000038,"WHEEL ASSY,IDLE,DWN:COB-25-77 R1",201,COBPP EQPT & SPRS,EA,2024-09-30,2.0,2.0,3.0,180778.6,2,1
20110501000038,"WHEEL ASSY,IDLE,DWN:COB-25-77 R1",201,COBPP EQPT & SPRS,EA,2024-10-31,2.0,2.0,3.0,180778.6,2,1
20110501000038,"WHEEL ASSY,IDLE,DWN:COB-25-77 R1",201,COBPP EQPT & SPRS,EA,2024-11-30,3.0,2.0,2.0,180778.6,2,1
20110501000038,"WHEEL ASSY,IDLE,DWN:COB-25-77 R1",201,COBPP EQPT & SPRS,EA,2024-12-31,2.0,2.0,2.0,180778.6,2,1
20110501000038,"WHEEL ASSY,IDLE,DWN:COB-25-77 R1",201,COBPP EQPT & SPRS,EA,2025-01-31,2.0,4.0,4.0,180778.6,2,1
20110501000038,"WHEEL ASSY,IDLE,DWN:COB-25-77 R1",201,COBPP EQPT & SPRS,EA,2025-02-28,2.0,2.0,4.0,180778.6,2,1
20110501000038,"WHEEL ASSY,IDLE,DWN:COB-25-77 R1",201,COBPP EQPT & SPRS,EA,2025-03-31,2.0,3.0,5.0,180778.6,2,1
20110501000038,"WHEEL ASSY,IDLE,DWN:COB-25-77 R1",201,COBPP EQPT & SPRS,EA,2025-04-30,1.0,2.0,6.0,180778.6,2,1
20110501000038,"WHEEL ASSY,IDLE,DWN:COB-25-77 R1",201,COBPP EQPT & SPRS,EA,2025-05-31,2.0,2.0,6.0,180778.6,2,1
20110501000038,"WHEEL ASSY,IDLE,DWN:COB-25-77 R1",201,COBPP EQPT & SPRS,EA,2025-06-30,2.0,1.0,5.0,180778.6,2,1
20110501000038,"WHEEL ASSY,IDLE,DWN:COB-25-77 R1",201,COBPP EQPT & SPRS,EA,2025-07-31,2.0,2.0,5.0,180778.6,2,1
20110501000038,"WHEEL ASSY,IDLE,DWN:COB-25-77 R1",201,COBPP EQPT & SPRS,EA,2025-08-31,2.0,2.0,5.0,180778.6,2,1
20110501000038,"WHEEL ASSY,IDLE,DWN:COB-25-77 R1",201,COBPP EQPT & SPRS,EA,2025-09-30,2.0,2.0,2.0,180778.6,2,0
20110501000038,"WHEEL ASSY,IDLE,DWN:COB-25-77 R1",201,COBPP EQPT & SPRS,EA,2025-10-31,2.0,2.0,0.0,180778.6,2,0
20110501000337,"WHEEL DRIVING,DWN:COB-82-19 R1",201,COBPP EQPT & SPRS,EA,2023-11-30,2.0,2.0,0.0,0.0,2,1
20110501000337,"WHEEL DRIVING,DWN:COB-82-19 R1",201,COBPP EQPT & SPRS,EA,2023-12-31,1.0,2.0,1.0,0.0,2,1
20110501000337,"WHEEL DRIVING,DWN:COB-82-19 R1",201,COBPP EQPT & SPRS,EA,2024-01-31,2.0,1.0,0.0,0.0,2,1
20110501000337,"WHEEL DRIVING,DWN:COB-82-19 R1",201,COBPP EQPT & SPRS,EA,2024-02-29,1.0,2.0,1.0,0.0,2,1
20110501000337,"WHEEL DRIVING,DWN:COB-82-19 R1",201,COBPP EQPT & SPRS,EA,2024-03-31,2.0,1.0,0.0,0.0,2,1
20110501000337,"WHEEL DRIVING,DWN:COB-82-19 R1",201,COBPP EQPT & SPRS,EA,2024-04-30,2.0,2.0,0.0,0.0,2,1
20110501000337,"WHEEL DRIVING,DWN:COB-82-19 R1",201,COBPP EQPT & SPRS,EA,2024-05-31,3.0,2.0,0.0,0.0,2,1
20110501000337,"WHEEL DRIVING,DWN:COB-82-19 R1",201,COBPP EQPT & SPRS,EA,2024-06-30,2.0,3.0,1.0,0.0,2,1
20110501000337,"WHEEL DRIVING,DWN:COB-82-19 R1",201,COBPP EQPT & SPRS,EA,2024-07-31,2.0,3.0,2.0,0.0,2,1
20110501000337,"WHEEL DRIVING,DWN:COB-82-19 R1",201,COBPP EQPT & SPRS,EA,2024-08-31,3.0,3.0,2.0,0.0,2,1
20110501000337,"WHEEL DRIVING,DWN:COB-82-19 R1",201,COBPP EQPT & SPRS,EA,2024-09-30,2.0,4.0,4.0,0.0,2,1
20110501000337,"WHEEL DRIVING,DWN:COB-82-19 R1",201,COBPP EQPT & SPRS,EA,2024-10-31,2.0,2.0,4.0,0.0,2,1
20110501000337,"WHEEL DRIVING,DWN:COB-82-19 R1",201,COBPP EQPT & SPRS,EA,2024-11-30,2.0,2.0,4.0,0.0,2,1
20110501000337,"WHEEL DRIVING,DWN:COB-82-19 R1",201,COBPP EQPT & SPRS,EA,2024-12-31,2.0,2.0,4.0,0.0,2,1
20110501000337,"WHEEL DRIVING,DWN:COB-82-19 R1",201,COBPP EQPT & SPRS,EA,2025-01-31,2.0,2.0,4.0,0.0,2,1
20110501000337,"WHEEL DRIVING,DWN:COB-82-19 R1",201,COBPP EQPT & SPRS,EA,2025-02-28,1.0,2.0,5.0,0.0,2,1
20110501000337,"WHEEL DRIVING,DWN:COB-82-19 R1",201,COBPP EQPT & SPRS,EA,2025-03-31,2.0,1.0,4.0,0.0,2,1
20110501000337,"WHEEL DRIVING,DWN:COB-82-19 R1",201,COBPP EQPT & SPRS,EA,2025-04-30,2.0,2.0,4.0,0.0,2,1
20110501000337,"WHEEL DRIVING,DWN:COB-82-19 R1",201,COBPP EQPT & SPRS,EA,2025-05-31,2.0,2.0,4.0,0.0,2,1
20110501000337,"WHEEL DRIVING,DWN:COB-82-19 R1",201,COBPP EQPT & SPRS,EA,2025-06-30,2.0,2.0,4.0,0.0,2,1
20110501000337,"WHEEL DRIVING,DWN:COB-82-19 R1",201,COBPP EQPT & SPRS,EA,2025-07-31,2.0,2.0,4.0,0.0,2,1
20110501000337,"WHEEL DRIVING,DWN:COB-82-19 R1",201,COBPP EQPT & SPRS,EA,2025-08-31,3.0,2.0,3.0,0.0,2,1
20110501000337,"WHEEL DRIVING,DWN:COB-82-19 R1",201,COBPP EQPT & SPRS,EA,2025-09-30,2.0,2.0,2.0,0.0,2,0
20110501000337,"WHEEL DRIVING,DWN:COB-82-19 R1",201,COBPP EQPT & SPRS,EA,2025-10-31,2.0,2.0,0.0,0.0,2,0
20110501001275,"DOOR FRAME ASSLY,CO-19-007",201,COBPP EQPT & SPRS,EA,2023-11-30,3.0,3.0,13.0,117000.0,2,1
20110501001275,"DOOR FRAME ASSLY,CO-19-007",201,COBPP EQPT & SPRS,EA,2023-12-31,6.0,3.0,10.0,117000.0,2,1
20110501001275,"DOOR FRAME ASSLY,CO-19-007",201,COBPP EQPT & SPRS,EA,2024-01-31,5.0,3.0,8.0,117000.0,2,1
20110501001275,"DOOR FRAME ASSLY,CO-19-007",201,COBPP EQPT & SPRS,EA,2024-02-29,6.0,5.0,7.0,117000.0,2,1
20110501001275,"DOOR FRAME ASSLY,CO-19-007",201,COBPP EQPT & SPRS,EA,2024-03-31,9.0,6.0,4.0,117000.0,2,1
20110501001275,"DOOR FRAME ASSLY,CO-19-007",201,COBPP EQPT & SPRS,EA,2024-04-30,9.0,8.0,3.0,117000.0,2,1
20110501001275,"DOOR FRAME ASSLY,CO-19-007",201,COBPP EQPT & SPRS,EA,2024-05-31,6.0,11.0,8.0,117000.0,2,1
20110501001275,"DOOR FRAME ASSLY,CO-19-007",201,COBPP EQPT & SPRS,EA,2024-06-30,7.0,8.0,9.0,117000.0,2,1
20110501001275,"DOOR FRAME ASSLY,CO-19-007",201,COBPP EQPT & SPRS,EA,2024-07-31,5.0,8.0,12.0,117000.0,2,1
20110501001275,"DOOR FRAME ASSLY,CO-19-007",201,COBPP EQPT & SPRS,EA,2024-08-31,5.0,6.0,13.0,117000.0,2,1
20110501001275,"DOOR FRAME ASSLY,CO-19-007",201,COBPP EQPT & SPRS,EA,2024-09-30,5.0,6.0,14.0,117000.0,2,1
20110501001275,"DOOR FRAME ASSLY,CO-19-007",201,COBPP EQPT & SPRS,EA,2024-10-31,6.0,7.0,15.0,117000.0,2,1
20110501001275,"DOOR FRAME ASSLY,CO-19-007",201,COBPP EQPT & SPRS,EA,2024-11-30,6.0,4.0,13.0,117000.0,2,1
20110501001275,"DOOR FRAME ASSLY,CO-19-007",201,COBPP EQPT & SPRS,EA,2024-12-31,5.0,8.0,16.0,117000.0,2,1
20110501001275,"DOOR FRAME ASSLY,CO-19-007",201,COBPP EQPT & SPRS,EA,2025-01-31,6.0,7.0,17.0,117000.0,2,1
20110501001275,"DOOR FRAME ASSLY,CO-19-007",201,COBPP EQPT & SPRS,EA,2025-02-28,6.0,5.0,16.0,117000.0,2,1
20110501001275,"DOOR FRAME ASSLY,CO-19-007",201,COBPP EQPT & SPRS,EA,2025-03-31,10.0,5.0,11.0,117000.0,2,1
20110501001275,"DOOR FRAME ASSLY,CO-19-007",201,COBPP EQPT & SPRS,EA,2025-04-30,6.0,6.0,11.0,117000.0,2,1
20110501001275,"DOOR FRAME ASSLY,CO-19-007",201,COBPP EQPT & SPRS,EA,2025-05-31,6.0,8.0,13.0,117000.0,2,1
20110501001275,"DOOR FRAME ASSLY,CO-19-007",201,COBPP EQPT & SPRS,EA,2025-06-30,8.0,7.0,12.0,117000.0,2,1
20110501001275,"DOOR FRAME ASSLY,CO-19-007",201,COBPP EQPT & SPRS,EA,2025-07-31,6.0,6.0,12.0,117000.0,2,1
20110501001275,"DOOR FRAME ASSLY,CO-19-007",201,COBPP EQPT & SPRS,EA,2025-08-31,7.0,10.0,15.0,117000.0,2,1
20110501001275,"DOOR FRAME ASSLY,CO-19-007",201,COBPP EQPT & SPRS,EA,2025-09-30,5.0,5.0,15.0,117000.0,2,0
20110501001275,"DOOR FRAME ASSLY,CO-19-007",201,COBPP EQPT & SPRS,EA,2025-10-31,5.0,5.0,10.0,117000.0,2,0
